TSLA,0.26473189434084926,0.3681240248888658,0.6684781101663864
ABT,0.3245522245218121,0.31849652545942614,0.6627709454374929
ABBV,0.4583040255878646,0.26828107755154246,0.4392408452975187
ACN,0.3434697489586165,0.3338964292992223,0.5211223174608567
ACE,2.4106915430626725e-05,0.6538053574835208,-0.39945206376939946
ADBE,0.2119059250988821,0.3606040897877704,0.7248481470792443
ADT,0.58944773914583,0.33081179290324153,0.41693454582389455
AAP,0.19346907416378603,0.43576726649976877,0.5014618559723145
AES,0.2905929907358193,0.41487650091663103,0.6537365595026732
AFL,0.35157006407868424,0.31793738009711203,0.6888526462348403
AMG,0.3857355292896744,0.30115694389989023,0.5245832272623469
A,0.2729520745459678,0.4890338900073713,0.3863493639651956
GAS,0.26983344955003663,0.33113650542417566,-0.011070176832424394
APD,0.3145619046388397,0.32275419779392733,0.599768301651173
AKAM,0.4048298762248143,0.39570050248132743,0.7779816742386957
AA,0.2678303485916907,0.3839884412246065,0.694208785331686
AGN,0.12940637863682922,0.4183197275181145,0.6765837596786723
ALXN,0.44402404527139666,0.3564584098117688,0.6921160865626516
ALLE,0.4378054191010826,0.31921733999694263,0.2871523144718172
ADS,0.3676328427254511,0.3478857384893747,0.5431657966400985
ALL,0.30495966123512575,0.338598224518573,0.5002903163909029
ALTR,0.398936841668176,0.3668558966619913,0.0227433332445226
MO,0.43087528045567874,0.38182460860156325,0.5311768633863034
AMZN,0.1825169898590975,0.35372013000848823,0.7185893433157898
AEE,0.3859343439434636,0.35550346713958614,0.48419311186466907
AAL,0.4469942768543733,0.3275972723166146,0.47491298373306146
AEP,0.3894352988793967,0.3378530305232512,0.7198898825340201
AXP,0.3262407552717581,0.33942094070367035,0.7477588076769801
AIG,0.3193952135309344,0.3589314404103673,0.7761668529980993
AMT,0.4694968437396266,0.3293931966845129,0.5599705724864916
AMP,0.3524369492418741,0.3203629858407427,0.4353834908853006
ABC,0.3141269720466161,0.3942042162815827,0.6131107069287889
AME,0.38182797304631383,0.31179178381712097,0.7318181892846702
AMGN,0.2575775751560109,0.3772786019594251,0.6961103613370399
APH,0.3855121791825709,0.30554530714094563,0.6872066123379387
ADI,0.2839222494363534,0.360109921676143,0.6477040765768403
AON,0.42261072316930043,0.31144120260857444,0.692122317186475
APA,0.2105930487609851,0.39258175276247215,0.738688971503059
AIV,0.40417931903346077,0.36483942104206607,0.6002845594961945
AMAT,0.3229078465320284,0.3227093418042547,0.6447473443071865
ADM,0.3229267642394928,0.3644743007496403,0.622767719968472
AIZ,0.453650886387474,0.33353444497887397,0.5052074591546
T,0.26770591320067455,0.38447467626656895,0.6344226851636154
ADSK,0.2443347001819358,0.3588568845087174,0.6611306805762376
ADP,0.4436380587104775,0.25823929914665517,0.7412902338670679
AN,0.40501505279982963,0.3516148907809913,0.5445037212150194
AZO,0.36612446620422845,0.3531831436552309,0.6871249078786508
AVGO,0.2493180151183023,0.3575711881859388,0.7099081856018389
AVB,0.41904531547362817,0.3562120076893599,0.7152861996801545
AVY,0.4243601907577071,0.32241607235315856,0.6420134587341585
BHI,0.9686854357409889,0.17532723543680737,0.11700939525935161
BLL,0.4045828592131789,0.2888794622070091,0.674611078877978
BAC,0.146828483038311,0.37438236652381685,0.7260586964299578
BK,0.29089154337162076,0.3068904723888274,0.6848599953021471
BAX,0.371106564250633,0.32942632970958685,0.7156390881218193
BBT,0.30601802210327006,0.34228151212219304,0.632484002293336
BDX,0.39475405956982956,0.2985630435043341,0.6984478931821263
BBBY,0.22513390157522742,0.40903759374714244,0.42838779121022774
BRK-B,0.3482562378345142,0.28213474412432427,0.37371203709601275
BBY,0.2192100263747179,0.39756322026057017,0.6437730643397708
BLX,0.46618906355283135,0.3151370332362278,0.3099644426763435
HRB,0.2344115196967337,0.40443790268899643,0.5729078277860837
BA,0.24489804928442846,0.3472881030167942,0.763622499087479
BWA,0.39135143893686836,0.32368121439085107,0.6030921942824177
BXP,0.3950879750469006,0.3655058056689669,0.6653335847492252
BSK,0.05907848726322817,0.44881568176596426,0.25880260903768015
BMY,0.31648398001391637,0.38293688159718214,0.5979965829543891
BF-B,0.41832348768794275,0.3468165184187304,0.759666748889531
CHRW,0.29495463356555496,0.38384878816621854,0.4041105388288332
CA,1.0949548549608457,1.4512624678389257,0.9531087228500924
COG,0.38497598412869416,0.3398111169305254,0.782511301239483
CPB,0.4176347379525708,0.3214458334182346,0.5707136311633385
COF,0.22206717071280943,0.3782027055485212,0.3683679967317187
CAH,0.3402724173948895,0.3462659197816557,0.5188537677043434
HSIC,0.5501617589837491,0.32781126822273726,0.5786999537147376
KMX,0.34723192044492734,0.369919918333013,0.6047408570141461
CCL,0.28010964341886196,0.34300488956837283,0.5155255210662542
CAT,0.34392323648088685,0.3017328316604989,0.6892267419183631
CBS,0.3377643076312353,0.36127415759151,0.36580490827194734
CELG,0.20345080803310964,0.3891670494686948,0.6921232350509487
CNP,0.2990507141766852,0.36429622603818707,0.7222214703479874
CTL,0.3932471061163861,0.3563396908370279,0.6515430802202332
CERN,0.33384306749076537,0.32733521374237595,0.6186781402421855
CF,0.36774289826253526,0.32764970147689404,0.5625142952576978
SCHW,0.27833489915428816,0.35932902539978306,0.5963204008588043
CHK,0.2438274440492106,0.35960112073966644,0.6292035056077385
CVX,0.2182344859275022,0.3738720626786273,0.7607638631305932
CMG,0.26984142236455855,0.39245263263031904,0.4858189841520808
CB,0.4584452591287934,0.2814947895868401,0.7176550797670568
CI,0.325326274535144,0.42125090768879003,0.6875924527063032
